track_name,artist,search_term,explicit,duration_ms,release_date,duration_sec
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,pop,True,215466,2023-06-02,215.466
Pop Off Pop Off,KiiiKiii,pop,False,141285,2026-08-10,141.285
POP DAT THANG,DaBaby,pop,True,138251,2026-01-23,138.251
Pop Out (feat. Lil Tjay),Polo G,pop,True,166560,2019-06-07,166.56
"POP DAT THANG (feat. GloRilla, Yung Miami & YKNIECE) - Official Remix",DaBaby,pop,True,235106,2026-05-01,235.106
Popular,Ariana Grande,pop,False,241501,2024-11-22,241.501
Dior,Pop Smoke,pop,True,216386,2019-07-26,216.386
POP OUT,Playboi Carti,pop,True,161738,2025-03-14,161.738
Janice STFU,Drake,pop,True,237344,2026-05-15,237.344
Man I Need,Olivia Dean,pop,False,184000,2025-08-15,184.0
Dead Fresh,Lil Baby,hip hop,True,157020,2026-07-17,157.02
"Hip-Hop (feat. BigXthaPlug, Jay Jones)",Lil Wayne,hip hop,True,241335,2025-06-06,241.335
Janice STFU,Drake,hip hop,True,237344,2026-05-15,237.344
Hip Hop Phile,BTS,hip hop,False,257299,2014-08-20,257.299
E85,Don Toliver,hip hop,True,153181,2026-01-30,153.181
Hip-Hop,Dead Prez,hip hop,True,214066,2000-02-08,214.066
Hip Hop Hooray,Naughty By Nature,hip hop,False,267266,1993-02-23,267.266
Hip Hop,Mos Def,hip hop,True,196440,1999-10-12,196.44
Hip-Hop Saved My Life (feat. Nikki Jean),Lupe Fiasco,hip hop,False,242506,2007-01-01,242.506
Hip Hop Is Dead,Nas,hip hop,False,225560,2006-12-19,225.56
Country Girl (Shake It For Me),Luke Bryan,country,False,225560,2011-01-01,225.56
"Take Me Home, Country Roads - Original Version",John Denver,country,False,193937,1971,193.937
Country Boy's Dream Girl,Ella Langley,country,False,185026,2023-05-19,185.026
Country Grammar (Hot Shit),Nelly,country,True,287000,2000-06-27,287.0
"Take Me Home, Country Roads",John Denver,country,False,197813,1997-06-17,197.813
A Country Boy Can Survive,"Hank Williams, Jr.",country,False,255000,1981-08-01,255.0
"Country Boy (feat. Charlie Daniels, Chris Young, & George Jones)",Aaron Lewis,country,False,283346,2011-11-01,283.346
Country And She Knows It,Luke Bryan,country,False,174364,2026-03-27,174.364
Country Bitch,Big Mo,country,True,137716,2024-12-25,137.716
Country And She Knows It,Luke Bryan,country,False,174364,2026-09-18,174.364
Rock That Body,Black Eyed Peas,rock,False,268840,2009-01-01,268.84
rockstar (feat. 21 Savage),Post Malone,rock,True,218146,2018-04-27,218.146
Rock Your Body,Justin Timberlake,rock,False,267266,2002-11-04,267.266
Rock with You - Single Version,Michael Jackson,rock,False,219926,1979-08-10,219.926
Rock and A Hard Place,Bailey Zimmerman,rock,False,207540,2023-01-11,207.54
Rockstar,Nickelback,rock,False,252040,2005-09-26,252.04
Rocketeer,Far East Movement,rock,False,211253,2010-01-01,211.253
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,False,281613,1972-05-19,281.613
Rock Lobster,The B-52's,rock,False,409400,1979,409.4
Rocky Top,The Osborne Brothers,rock,False,160026,2008-05-20,160.026
Clarity,Zedd,electronic,False,271426,2012-01-01,271.426
Hear Me Now,Alok,electronic,False,194840,2016-10-21,194.84
Memories (feat. Kid Cudi),David Guetta,electronic,True,209226,2010-11-22,209.226
ME PROVOCAS,Fumaratto,electronic,False,292872,2019-05-03,292.872
Electronic,Only Fire,electronic,True,184355,2026-08-21,184.355
Electronic Heart,NIVEK FFORHS,electronic,False,188671,2025-07-25,188.671
Electronic Girl,Chinese Football,electronic,False,310432,2017-03-03,310.432
Erotic Electronic,Slayyyter,electronic,True,143618,2023-09-22,143.618
Electronic Eyes - HORNET Re:mix,the sound chalk makes,electronic,False,151724,2026-06-19,151.724
Electronic Shop,temcandoanything,electronic,False,122517,2024-03-29,122.517
